,PL,ADV,BIB-NAME,GR,TEAM,MY TIME,RANK    TIME,Unnamed: 7,RANK,TIME
0,1,TM,1-Lauren McCollor,11,Wayzata,27:35.9,1   12:47.0,1,14:48.9,
1,2,TM,3-Ingrid Halverson,11,Wayzata,28:57.2,3   13:45.0,2,15:12.2,
2,3,IND,2-Sophia Pung,10,Armstrong,28:58.6,2   13:34.0,5,15:24.6,
3,4,IND,5-Naomi Ohman,12,Orono,29:29.8,5   14:08.0,4,15:21.8,
4,5,TM,4-Sydney Drevlow,7,Hopkins,29:35.3,4   13:48.0,7,15:47.3,
5,6,TM,8-Lauren Munger,10,Hopkins,29:48.4,8   14:29.0,3,15:19.4,
6,7,TM,7-Elsa Bergman,10,Hopkins,29:57.1,7   14:28.0,6,15:29.1,
7,8,TM,10-Kathryn House,11,Wayzata,30:26.6,10  14:33.0,8,15:53.6,
8,9,TM,17-Taya Vokaty,12,Wayzata,30:39.2,16  14:43.0,9,15:56.2,
9,10,IND,15-Brianne Dorweiler,11,Armstrong,30:40.1,15  14:42.0,10,15:58.1,
10,11,IND,13-Avalon Johnson,12,Orono,30:50.6,13  14:37.0,13,16:13.6,
11,12,IND,16-Nalia Petersen,12,Heritage-Providence,30:55.1,17  14:43.0,12,16:12.1,
12,13,TM,9-Maria Fahnlander,12,Wayzata,31:01.7,9   14:32.0,15,16:29.7,
13,14,IND,6-Olivia Foli,11,Armstrong,31:07.1,6   14:17.0,21,16:50.1,
14,15,TM,19-Diane Meyer,10,Wayzata,31:07.8,18  14:58.0,11,16:09.8,
15,16,,11-Mimi Kniser,11,St Louis Park,31:10.9,11  14:34.0,16,16:36.9,
16,17,TM,12-Claire Parham,12,Wayzata,31:19.1,12  14:36.0,17,16:43.1,
17,18,TM,14-Laci Provenzano,11,Hopkins,31:32.9,14  14:41.0,22,16:51.9,
18,19,,20-Kate McGown,12,Mound-Westonka,31:42.9,20  14:59.0,18,16:43.9,
19,20,,18-Inga Smith,12,Orono,31:45.9,19  14:58.0,20,16:47.9,
20,21,,21-Hanna Wilsey,8,St Louis Park,31:49.3,21  15:04.0,19,16:45.3,
21,22,TM,29-Ellie Munger,12,Hopkins,32:01.3,29  15:34.0,14,16:27.3,
22,23,,27-Lou Himes,11,Armstrong,32:45.6,27  15:25.0,23,17:20.6,
23,24,TM,23-Ella Firehammer,12,Hopkins,32:49.9,23  15:14.0,27,17:35.9,
24,25,,24-Jersey Miller,8,St Louis Park,32:50.1,24  15:21.0,25,17:29.1,
25,26,,26-Victoria Schmelzle,10,St Louis Park,32:52.4,26  15:23.0,26,17:29.4,
26,27,,22-Mio Aoki-Sherwood,11,Armstrong,33:06.8,22  15:12.0,28,17:54.8,
27,28,,28-Greta Goldade,11,Orono,33:24.4,28  15:27.0,29,17:57.4,
28,29,,25-Noelle Brandes,10,Armstrong,33:33.5,25  15:21.0,32,18:12.5,
29,30,,31-Sydney Brost,9,Armstrong,33:54.2,31  15:44.0,30,18:10.2,
30,31,,30-Evelyn Villalobos,12,Cooper,33:56.6,30  15:43.0,33,18:13.6,
31,32,TM,32-Audrey  Urbanowicz,11,Hopkins,34:24.4,32  15:49.0,34,18:35.4,
32,33,,35-Simone Lundquist,11,Heritage-Providence,34:39.2,35  16:27.0,31,18:12.2,
33,34,,42-Maddie Kelly,12,Heritage-Providence,34:39.6,42  17:14.0,24,17:25.6,
34,35,,33-Addison Chenvert,8,St Louis Park,35:16.1,33  16:12.0,37,19:04.1,
35,36,,34-Louise Rosenbaum,12,Orono,35:16.3,34  16:24.0,36,18:52.3,
36,37,,39-Ivy Houts,11,St Louis Park,35:31.4,39  16:46.0,35,18:45.4,
37,38,,36-Esme Gulbransen,7,Breck,36:01.1,36  16:30.0,38,19:31.1,
38,39,,38-Britt Helgaas,11,Breck,36:16.3,38  16:42.0,39,19:34.3,
39,40,,40-Carly McGown,11,Mound-Westonka,37:01.5,40  16:48.0,42,20:13.5,
40,41,,44-Ella Fullerton,10,Breck,37:26.4,44  17:20.0,41,20:06.4,
41,42,,41-Isabelle Pink,10,Breck,37:34.4,41  16:57.0,45,20:37.4,
